Index 169, 2023-11-03 00:00:00, 1, 176.65
Index 170, 2023-11-06 00:00:00, 1, 179.23
Index 171, 2023-11-07 00:00:00, 1, 181.82
Index 172, 2023-11-08 00:00:00, 1, 182.89
Index 173, 2023-11-09 00:00:00, 1, 182.41
Index 174, 2023-11-10 00:00:00, 1, 186.4
Index 175, 2023-11-13 00:00:00, 1, 184.8
Index 176, 2023-11-14 00:00:00, 1, 187.44
Index 177, 2023-11-15 00:00:00, 1, 188.01
Index 178, 2023-11-16 00:00:00, 0, 189.71
Index 179, 2023-11-17 00:00:00, 0, 189.69
Index 180, 2023-11-20 00:00:00, 1, 191.45
Index 181, 2023-11-21 00:00:00, 1, 190.64
Index 182, 2023-11-22 00:00:00, 1, 191.31
Index 183, 2023-11-24 00:00:00, 1, 189.97
Index 184, 2023-11-27 00:00:00, 1, 189.79
Index 185, 2023-11-28 00:00:00, 1, 190.4
Index 186, 2023-11-29 00:00:00, 1, 189.37
Index 187, 2023-11-30 00:00:00, 1, 189.95
Index 188, 2023-12-01 00:00:00, 1, 191.24
Index 189, 2023-12-04 00:00:00, 1, 189.43
Index 190, 2023-12-05 00:00:00, 1, 193.42
Index 191, 2023-12-06 00:00:00, 1, 192.32
Index 192, 2023-12-07 00:00:00, 1, 194.27
Index 193, 2023-12-08 00:00:00, 1, 195.71
Index 194, 2023-12-11 00:00:00, 1, 193.18
Index 195, 2023-12-12 00:00:00, 1, 194.71
Index 196, 2023-12-13 00:00:00, -1, 197.96
Index 197, 2023-12-14 00:00:00, -1, 198.11
Index 198, 2023-12-15 00:00:00, -1, 197.57
Index 199, 2023-12-18 00:00:00, -1, 195.89
Index 200, 2023-12-19 00:00:00, -1, 196.94
Index 201, 2023-12-20 00:00:00, -1, 194.83
Index 202, 2023-12-21 00:00:00, -1, 194.68
Index 203, 2023-12-22 00:00:00, -1, 193.6
Index 204, 2023-12-26 00:00:00, -1, 193.05
Index 205, 2023-12-27 00:00:00, -1, 193.15
Index 206, 2023-12-28 00:00:00, -1, 193.58
Index 207, 2023-12-29 00:00:00, -1, 192.53
Index 208, 2024-01-02 00:00:00, -1, 185.64
Index 209, 2024-01-03 00:00:00, 1, 184.25
Index 210, 2024-01-04 00:00:00, 1, 181.91
Index 211, 2024-01-05 00:00:00, 1, 181.18
Index 212, 2024-01-08 00:00:00, 1, 185.56
Index 213, 2024-01-09 00:00:00, 1, 185.14
Index 214, 2024-01-10 00:00:00, 1, 186.19
Index 215, 2024-01-11 00:00:00, 1, 185.59
Index 216, 2024-01-12 00:00:00, 1, 185.92
Index 217, 2024-01-16 00:00:00, 1, 183.63
Index 218, 2024-01-17 00:00:00, 1, 182.68
Index 219, 2024-01-18 00:00:00, 1, 188.63
Index 220, 2024-01-19 00:00:00, 1, 191.56
Index 221, 2024-01-22 00:00:00, -1, 193.89
Index 222, 2024-01-23 00:00:00, -1, 195.18
Index 223, 2024-01-24 00:00:00, -1, 194.5
Index 224, 2024-01-25 00:00:00, -1, 194.17
Index 225, 2024-01-26 00:00:00, -1, 192.42
Index 226, 2024-01-29 00:00:00, -1, 191.73
Index 227, 2024-01-30 00:00:00, -1, 188.04
Index 228, 2024-01-31 00:00:00, 1, 184.4
Index 229, 2024-02-01 00:00:00, 1, 186.86
Index 230, 2024-02-02 00:00:00, 1, 185.85
Index 231, 2024-02-05 00:00:00, -1, 187.68
Index 232, 2024-02-06 00:00:00, -1, 189.3
Index 233, 2024-02-07 00:00:00, -1, 189.41
Index 234, 2024-02-08 00:00:00, -1, 188.32
