Date,Open,High,Low,Close,Volume
2024-10-31,257.99,259.75,249.25,249.85,66015745.0
2024-10-30,258.035,263.35,255.8201,257.55,53526024.0
2024-10-29,264.51,264.98,255.51,259.52,79159226.0
2024-10-28,270.0,273.536,262.24,262.51,104072158.0
2024-10-25,256.01,269.49,255.32,269.19,160681271.0
2024-10-24,244.68,262.1199,242.65,260.48,202723976.0
2024-10-23,217.125,218.72,212.11,213.65,80657197.0
2024-10-22,217.31,218.22,215.26,217.97,42731933.0
2024-10-21,218.9,220.48,215.726,218.85,47146717.0
2024-10-18,220.71,222.28,219.23,220.7,48945495.0
2024-10-17,221.59,222.08,217.9,220.89,48562745.0
2024-10-16,221.4,222.8199,218.93,221.33,49357786.0
2024-10-15,220.01,224.26,217.12,219.57,61922241.0
2024-10-14,220.13,221.91,213.74,219.16,85546051.0
2024-10-11,220.13,223.34,214.38,217.8,140339211.0
2024-10-10,241.81,242.7899,232.34,238.77,82659329.0
2024-10-09,243.82,247.43,239.51,241.05,66115710.0
2024-10-08,243.56,246.21,240.56,244.5,54199703.0
2024-10-07,249.0,249.83,240.7,240.83,65363518.0
2024-10-04,246.69,250.96,244.58,250.08,85665152.0
2024-10-03,244.48,249.79,237.81,240.66,80518151.0
2024-10-02,247.55,251.1585,241.5,249.02,93673015.0
2024-10-01,262.67,263.98,248.53,258.02,87151662.0
2024-09-30,259.04,264.86,255.77,261.63,80522643.0
2024-09-27,257.375,260.6999,254.12,260.46,69096904.0
2024-09-26,260.6,261.75,251.53,254.22,66063159.0
2024-09-25,252.54,257.05,252.28,257.02,64864664.0
2024-09-24,254.08,257.19,249.0501,254.27,88103581.0
2024-09-23,242.61,250.0,241.92,250.0,86231314.0
2024-09-20,241.52,243.99,235.92,238.25,95902667.0
2024-09-19,234.0,244.24,232.13,243.92,101584843.0
2024-09-18,230.09,235.68,226.88,227.2,77774346.0
2024-09-17,229.45,234.57,226.5533,227.87,66241258.0
2024-09-16,229.3,229.96,223.53,226.78,54052776.0
2024-09-13,228.0,232.67,226.32,230.29,59338842.0
2024-09-12,224.66,231.45,223.83,229.81,71578195.0
2024-09-11,224.55,228.47,216.8003,228.13,82825735.0
2024-09-10,220.07,226.4,218.6377,226.17,78722701.0
2024-09-09,216.2,219.87,213.67,216.27,67122525.0
2024-09-06,232.6,233.6,210.51,210.73,111638920.0
2024-09-05,223.49,235.0,222.25,230.17,118826457.0
2024-09-04,210.59,222.22,210.57,219.41,80216353.0
2024-09-03,215.26,219.9043,209.64,210.6,76489824.0
2024-08-30,208.63,214.5701,207.03,214.11,62638658.0
2024-08-29,209.8,214.89,205.97,206.28,62122474.0
2024-08-28,209.72,211.84,202.59,205.75,63769540.0
2024-08-27,213.25,215.66,206.94,209.21,61905404.0
2024-08-26,218.75,219.09,211.01,213.21,59028609.0
2024-08-23,214.455,221.48,214.21,220.32,81276311.0
2024-08-22,223.82,224.8,210.32,210.66,76545496.0
2024-08-21,222.67,224.6594,218.86,223.27,70042505.0
2024-08-20,224.88,228.22,219.56,221.1,73524059.0
2024-08-19,217.07,222.98,214.09,222.72,76302406.0
2024-08-16,211.15,219.8,210.8,216.12,86786311.0
2024-08-15,205.02,215.88,204.82,214.14,88871167.0
2024-08-14,207.39,208.44,198.75,201.38,70078561.0
2024-08-13,198.47,208.49,197.06,207.83,76083590.0
2024-08-12,199.02,199.26,194.67,197.49,61959291.0
2024-08-09,197.05,200.88,195.11,200.0,58101081.0
2024-08-08,195.7,200.7,192.04,198.84,64274401.0
2024-08-07,200.77,203.49,191.48,191.76,70207473.0
2024-08-06,200.75,202.9,192.67,200.64,73770212.0
2024-08-05,185.22,203.8799,182.0,198.88,100246088.0
2024-08-02,214.88,216.13,205.78,207.67,82234216.0
2024-08-01,227.69,231.867,214.3328,216.86,83140754.0
2024-07-31,227.9,234.68,226.7875,232.07,66161613.0
2024-07-30,232.25,232.41,220.0,222.62,99636784.0
2024-07-29,224.9,234.27,224.7,232.1,129034809.0
2024-07-26,221.19,222.2799,215.33,219.8,94193381.0
2024-07-25,216.8,226.0,216.231,220.25,100625306.0
2024-07-24,225.42,225.99,214.71,215.99,165332940.0
2024-07-23,253.6,255.7594,245.63,246.38,111696967.0
2024-07-22,244.21,253.21,243.75,251.51,100882590.0
2024-07-19,247.79,249.01,236.83,239.2,86886801.0
2024-07-18,251.09,257.14,247.2,249.23,110466857.0
2024-07-17,252.73,258.47,246.182,248.5,115413916.0
2024-07-16,255.31,258.62,245.8001,256.56,125997617.0
2024-07-15,255.97,265.6,251.73,252.64,146761093.0
2024-07-12,235.8,251.84,233.0912,248.23,155586058.0
2024-07-11,263.3,271.0,239.65,241.03,221146443.0
2024-07-10,262.8,267.59,257.86,263.26,128147806.0
2024-07-09,251.0,265.61,250.3,262.33,160504459.0
2024-07-08,247.71,259.439,244.57,252.94,156752314.0
2024-07-05,249.81,252.37,242.4601,251.52,154131107.0
2024-07-03,234.56,248.35,234.25,246.39,166343523.0
2024-07-02,218.89,231.3,218.06,231.26,204556459.0
2024-07-01,201.02,213.23,200.85,209.86,135280878.0
2024-06-28,199.55,203.2,195.26,197.88,94332659.0
2024-06-27,195.17,198.72,194.05,197.42,72427210.0
2024-06-26,186.54,197.755,186.36,196.37,95064605.0
2024-06-25,184.4,187.97,182.01,187.35,63280946.0
2024-06-24,184.97,188.8,182.55,182.58,61688204.0
2024-06-21,182.3,183.95,180.69,183.01,58960360.0
2024-06-20,184.68,185.21,179.66,181.57,55627273.0
2024-06-18,186.56,187.2,182.37,184.86,68714255.0
2024-06-17,177.92,188.81,177.0,187.44,109340095.0
2024-06-14,185.8,186.0,176.92,178.01,81578715.0
2024-06-13,188.39,191.08,181.23,182.47,118715335.0
2024-06-12,171.12,180.55,169.8,177.29,90153542.0
2024-06-11,173.92,174.75,167.41,170.66,64249574.0
2024-06-10,176.06,178.57,173.17,173.79,50440823.0
2024-06-07,176.13,179.35,175.58,177.48,55543307.0
2024-06-06,174.6,179.73,172.73,177.94,69438576.0
2024-06-05,175.35,176.15,172.13,175.0,56814844.0
2024-06-04,174.775,177.755,174.0,174.77,59777023.0
2024-06-03,178.13,182.6389,174.49,176.29,68118079.0
2024-05-31,178.5,180.32,173.82,178.08,66508169.0
2024-05-30,178.575,182.67,175.38,178.79,77349396.0
2024-05-29,174.19,178.15,173.93,176.19,54300232.0
2024-05-28,176.4,178.25,173.16,176.75,59434663.0
2024-05-24,174.835,180.08,173.73,179.24,65270287.0
2024-05-23,181.8,181.9,173.26,173.74,71613271.0
2024-05-22,182.85,183.8,178.12,180.11,88166494.0
2024-05-21,175.51,186.875,174.71,186.6,114991067.0
2024-05-20,177.56,177.754,173.52,174.95,61555732.0
2024-05-17,173.55,179.63,172.75,177.46,77339073.0
2024-05-16,174.1,175.79,171.43,174.84,59267811.0
2024-05-15,179.9,180.0,173.11,173.99,79231129.0
2024-05-14,174.4959,179.49,174.07,177.55,86224294.0
2024-05-13,170.0,175.4,169.0,171.89,66526102.0
2024-05-10,173.05,173.0599,167.75,168.47,72482318.0
2024-05-09,175.01,175.62,171.37,171.97,65837398.0
2024-05-08,171.59,176.06,170.15,174.72,79854520.0
2024-05-07,182.4,183.26,177.4,177.81,74708154.0
2024-05-06,183.8,187.56,182.2,184.76,84272924.0
2024-05-03,182.1,184.78,178.42,181.19,75343673.0
2024-05-02,182.86,184.6,176.02,180.01,88958756.0
2024-05-01,182.0,185.86,179.01,179.99,92594635.0
2024-04-30,186.98,190.95,182.8401,183.28,126656434.0
2024-04-29,188.42,198.87,184.54,194.05,243275829.0
2024-04-26,168.85,172.12,166.37,168.29,109317128.0
2024-04-25,158.96,170.88,158.36,170.18,125931072.0
2024-04-24,162.84,167.97,157.51,162.13,180316986.0
2024-04-23,143.33,147.26,141.11,144.68,123796579.0
2024-04-22,140.56,144.44,138.8025,142.05,106810324.0
2024-04-19,148.97,150.94,146.22,147.05,86619782.0
2024-04-18,151.25,152.2,148.7,149.93,95813951.0
2024-04-17,157.64,158.33,153.78,155.45,82235384.0
2024-04-16,156.742,158.19,153.75,157.11,96552691.0
2024-04-15,170.24,170.69,161.38,161.48,99778591.0
2024-04-12,172.34,173.8099,170.3644,171.05,64694669.0
2024-04-11,172.55,175.88,168.51,174.6,94500987.0
2024-04-10,173.04,174.93,170.01,171.76,84490407.0
2024-04-09,172.91,179.22,171.92,176.88,103224375.0
2024-04-08,169.34,174.5,167.79,172.98,104362520.0
2024-04-05,169.08,170.86,160.51,164.9,142987603.0
2024-04-04,170.07,177.19,168.01,171.11,123127860.0
2024-04-03,164.02,168.82,163.28,168.38,82890791.0
2024-04-02,164.75,167.69,163.43,166.63,116639094.0
2024-04-01,176.17,176.75,170.21,175.22,81562127.0
2024-03-28,177.45,179.57,175.3,175.79,77633508.0
2024-03-27,181.41,181.91,176.0,179.83,81804043.0
2024-03-26,178.58,184.25,177.38,177.67,113131227.0
2024-03-25,168.76,175.24,168.73,172.63,74228615.0
